"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.525194490E-1,-2.800000086E-2,2.899999917E-1,-5.389999747E-1,6.127030014E-1
3.574666180E-1,-2.800000086E-2,2.899999917E-1,-5.389999747E-1,6.127030014E-1
3.624180490E-1,-3.400000185E-2,3.039999902E-1,-4.869999886E-1,5.751008460E-1
3.673682320E-1,-3.400000185E-2,3.039999902E-1,-4.869999886E-1,5.751008460E-1
3.723178320E-1,-3.700000048E-2,3.199999928E-1,-4.909999967E-1,5.872392972E-1
3.772676090E-1,-3.700000048E-2,3.199999928E-1,-4.909999967E-1,5.872392972E-1
3.822167460E-1,-4.999999888E-3,3.950000107E-1,-4.930000007E-1,6.317428347E-1
3.871660710E-1,-4.999999888E-3,3.950000107E-1,-4.930000007E-1,6.317428347E-1
3.921124840E-1,-2.600000054E-2,3.009999990E-1,-5.220000148E-1,6.031260357E-1
3.970597870E-1,-2.600000054E-2,3.009999990E-1,-5.220000148E-1,6.031260357E-1
4.020083110E-1,-3.799999878E-2,3.019999862E-1,-5.040000081E-1,5.887817930E-1
4.069564780E-1,-3.799999878E-2,3.019999862E-1,-5.040000081E-1,5.887817930E-1
4.119013540E-1,-2.400000021E-2,2.329999954E-1,-5.450000167E-1,5.932031828E-1
4.168471850E-1,-2.400000021E-2,2.329999954E-1,-5.450000167E-1,5.932031828E-1
4.217944750E-1,-3.900000080E-2,2.919999957E-1,-5.149999857E-1,5.933042919E-1
4.267413380E-1,-3.900000080E-2,2.919999957E-1,-5.149999857E-1,5.933042919E-1
4.316899220E-1,4.999999888E-3,3.249999881E-1,-5.230000019E-1,6.157751166E-1
4.366379830E-1,4.999999888E-3,3.249999881E-1,-5.230000019E-1,6.157751166E-1
4.415832690E-1,-1.400000043E-2,3.280000091E-1,-5.099999905E-1,6.065311173E-1
4.465293680E-1,-1.400000043E-2,3.280000091E-1,-5.099999905E-1,6.065311173E-1
4.514777330E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
4.564254380E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
4.613759480E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
4.663256510E-1,3.900000080E-2,3.849999905E-1,-5.220000148E-1,6.497922808E-1
4.712739450E-1,9.000000358E-2,3.230000138E-1,-5.080000162E-1,6.086813830E-1
4.762226520E-1,9.000000358E-2,3.230000138E-1,-5.080000162E-1,6.086813830E-1
4.811708660E-1,9.399999678E-2,3.490000069E-1,-4.869999886E-1,6.064701090E-1
4.861192430E-1,9.399999678E-2,3.490000069E-1,-4.869999886E-1,6.064701090E-1
4.910695200E-1,5.700000003E-2,3.770000041E-1,-3.700000048E-1,5.312984158E-1
4.960192410E-1,5.700000003E-2,3.770000041E-1,-3.700000048E-1,5.312984158E-1
5.009684960E-1,2.500000037E-2,3.600000143E-1,-3.249999881E-1,4.856439051E-1
5.059179070E-1,2.500000037E-2,3.600000143E-1,-3.249999881E-1,4.856439051E-1
5.108660700E-1,4.199999943E-2,3.519999981E-1,-2.540000081E-1,4.361009089E-1
5.158145990E-1,4.199999943E-2,3.519999981E-1,-2.540000081E-1,4.361009089E-1
5.207632080E-1,5.700000003E-2,3.849999905E-1,-2.790000141E-1,4.788684585E-1
5.257118090E-1,5.700000003E-2,3.849999905E-1,-2.790000141E-1,4.788684585E-1
5.306606070E-1,8.699999750E-2,4.149999917E-1,-3.459999859E-1,5.472750523E-1
5.356093480E-1,8.699999750E-2,4.149999917E-1,-3.459999859E-1,5.472750523E-1
5.405589390E-1,9.000000358E-2,4.690000117E-1,-3.840000033E-1,6.127944306E-1
5.455083100E-1,9.000000358E-2,4.690000117E-1,-3.840000033E-1,6.127944306E-1
5.504566160E-1,3.900000080E-2,4.939999878E-1,-4.790000021E-1,6.892009795E-1
5.554052350E-1,3.900000080E-2,4.939999878E-1,-4.790000021E-1,6.892009795E-1
5.603544520E-1,5.200000107E-2,4.900000095E-1,-4.709999859E-1,6.816487337E-1
5.653034810E-1,5.200000107E-2,4.900000095E-1,-4.709999859E-1,6.816487337E-1
5.702548640E-1,5.600000173E-2,5.440000296E-1,-4.939999878E-1,7.369586287E-1
5.752055590E-1,5.600000173E-2,5.440000296E-1,-4.939999878E-1,7.369586287E-1
5.801531610E-1,6.700000167E-2,5.370000005E-1,-5.279999971E-1,7.560701011E-1
5.851016560E-1,6.700000167E-2,5.370000005E-1,-5.279999971E-1,7.560701011E-1
5.900522000E-1,7.400000095E-2,5.559999943E-1,-6.620000005E-1,8.676727461E-1
5.950021650E-1,7.400000095E-2,5.559999943E-1,-6.620000005E-1,8.676727461E-1
5.999474750E-1,7.699999958E-2,5.740000010E-1,-7.120000124E-1,9.177957391E-1
6.048941560E-1,7.699999958E-2,5.740000010E-1,-7.120000124E-1,9.177957391E-1
6.098449490E-1,7.699999958E-2,5.740000010E-1,-7.120000124E-1,9.177957391E-1
