"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.474201750E-1,1.200000010E-2,1.199999973E-1,-5.659999847E-1,5.787054364E-1
3.523680830E-1,4.800000042E-2,1.270000041E-1,-5.720000267E-1,5.878920238E-1
3.573161220E-1,4.800000042E-2,1.270000041E-1,-5.720000267E-1,5.878920238E-1
3.622639800E-1,5.900000036E-2,7.699999958E-2,-5.649999976E-1,5.732669512E-1
3.672118910E-1,5.900000036E-2,7.699999958E-2,-5.649999976E-1,5.732669512E-1
3.721649380E-1,5.900000036E-2,8.500000089E-2,-5.120000243E-1,5.223504811E-1
3.771164910E-1,5.900000036E-2,8.500000089E-2,-5.120000243E-1,5.223504811E-1
3.820624400E-1,9.600000083E-2,1.340000033E-1,-4.609999955E-1,4.895845145E-1
3.870100310E-1,9.600000083E-2,1.340000033E-1,-4.609999955E-1,4.895845145E-1
3.919593020E-1,1.430000067E-1,1.089999974E-1,-4.480000138E-1,4.827359669E-1
3.969080910E-1,1.430000067E-1,1.089999974E-1,-4.480000138E-1,4.827359669E-1
4.018565430E-1,1.700000018E-1,1.089999974E-1,-4.370000064E-1,4.814042020E-1
4.068050940E-1,1.700000018E-1,1.089999974E-1,-4.370000064E-1,4.814042020E-1
4.117535080E-1,1.350000054E-1,8.500000089E-2,-4.169999957E-1,4.464739612E-1
4.167019530E-1,1.350000054E-1,8.500000089E-2,-4.169999957E-1,4.464739612E-1
4.216486460E-1,1.979999989E-1,7.599999756E-2,-4.289999902E-1,4.785613762E-1
4.265958630E-1,1.979999989E-1,7.599999756E-2,-4.289999902E-1,4.785613762E-1
4.315436350E-1,1.940000057E-1,8.200000226E-2,-4.909999967E-1,5.342667866E-1
4.364912460E-1,1.940000057E-1,8.200000226E-2,-4.909999967E-1,5.342667866E-1
4.414393260E-1,2.070000023E-1,5.700000003E-2,-5.389999747E-1,5.801887397E-1
4.463872590E-1,2.070000023E-1,5.700000003E-2,-5.389999747E-1,5.801887397E-1
4.513304050E-1,1.519999951E-1,9.899999946E-2,-5.049999952E-1,5.365910860E-1
4.562749540E-1,1.519999951E-1,9.899999946E-2,-5.049999952E-1,5.365910860E-1
4.612216780E-1,1.710000038E-1,9.399999678E-2,-5.440000296E-1,5.779386065E-1
